0,1,2,3,4,5
1427226354527,41,97,85,61,88
1427226441565,81,37,37,62,12
1427226449272,50,52,66,50,46
1427226508580,60,54,68,66,62
1427226550232,81,50,62,75,37
1427226838711,75,75,93,68,62
1427227430158,41,53,58,50,55
1427227590637,0,0,0,0,0
1427227594568,68,81,87,87,93
1427227602366,60,70,65,66,65
1427227656803,56,31,81,81,62
1427227806891,88,57,80,52,48
1427228009464,68,0,50,31,50
1427228343454,18,25,25,12,6
1427228405876,81,37,75,37,0
1427228573585,63,60,58,60,70
1427228607930,18,0,6,6,6
1427228659819,81,62,75,50,37
1427228681726,37,56,68,62,25
1427229222699,68,37,37,37,31
1427229381582,62,0,75,43,31
1427229489189,0,12,12,12,6
1427229497323,87,50,87,81,18
1427229517304,93,92,100,93,93
1427229583282,93,68,81,37,43
1427229662980,25,53,40,31,35
1427230125867,37,87,93,43,81
1427230148791,75,75,75,43,50
1427230177381,0,0,0,0,0
1427230344876,50,58,63,61,61
1427230368311,0,0,0,0,0
1427230449248,49,65,80,60,61
1427230515156,68,75,87,75,68
1427230515601,0,0,0,0,0
1427230731580,75,50,50,81,50
1427230743254,0,0,0,0,0
1427230823845,12,12,0,0,0
1427230890773,87,0,75,37,6
1427230995031,62,12,75,81,25
1427231084096,51,66,63,61,60
1427231285837,75,50,50,81,50
1427231393333,43,56,48,60,78
1427231515053,62,61,61,60,57
1427231793426,0,0,0,0,0
1427231808045,81,87,87,100,37
1427231844794,100,37,81,68,25
1427232265345,62,25,87,25,56
1427232472930,51,75,63,60,81
1427232523580,62,56,56,56,56
1427232716338,70,43,50,58,65
1427233002464,68,62,87,75,68
1427233032086,68,43,75,81,43
1427233123659,77,66,54,56,72
1427233268836,88,50,58,58,81
1427233317732,37,31,81,100,18
1427233321862,12,12,13,10,8
1427233368263,6,6,0,0,0
1427233668765,18,18,8,13,13
1427233710162,31,56,68,37,50
1427233910839,76,68,61,56,70
1427233989070,87,18,50,62,56
1427234088011,68,50,56,50,6
1427234115536,25,25,56,75,25
1427234131883,0,0,0,0,0
1427234214569,58,33,69,70,70
1427234221710,77,66,81,64,82
1427234238297,50,75,68,56,68
1427234434507,44,74,69,52,66
1427234772375,48,73,63,63,73
1427234824672,93,75,56,62,62
1427234972186,46,33,53,58,60
1427235274856,81,43,75,56,25
1427235361720,75,50,68,56,50
1427235388830,51,83,63,75,71
1427235436877,93,93,93,81,75
1427235704602,87,43,81,56,68
1427235970058,50,43,75,25,56
1427236087462,87,43,81,56,68
1427236283527,5,1,0,0,0
1427236310768,33,26,32,30,26
1427236381095,60,71,61,53,68
1427236627289,50,56,68,87,68
1427236798712,18,87,87,75,56
1427239513022,68,43,93,87,62
1427239937128,0,0,0,0,0
1427240972386,50,62,68,75,37
1427241192006,75,43,75,81,12
1427241474556,68,81,62,68,25
1427241617227,73,68,83,60,45
1427242922116,56,6,68,43,18
1427243155035,69,68,80,72,58
1427243617624,77,60,66,72,69
1427244778457,68,63,70,60,55
1427245502693,87,56,68,68,75
1427245828693,87,81,100,50,62
1427246019720,87,43,62,75,75
1427246243197,87,56,81,87,31
1427246501085,68,68,87,56,62
1427246592431,87,50,50,87,18
1427248630759,31,37,75,25,50
1427249111746,61,42,68,74,58
1427249366782,85,63,60,51,56
1427250543450,1,2,0,0,0
1427252355646,12,12,12,6,12
1427252381363,86,92,90,86,92
1427252933013,0,0,0,0,0
1427253409770,3,6,0,0,0
1427254536034,66,49,60,72,69
1427254576876,51,80,83,58,78
1427254946239,76,70,81,58,81
1427255174782,0,0,0,0,0
1427255998843,75,18,37,93,37
1427256622689,0,0,0,0,0
1427256745148,81,93,81,93,68
1427256974507,100,81,50,75,18
1427257038463,12,12,12,6,6
1427257097414,18,18,5,13,15
1427257202416,56,43,50,68,50
1427257318733,70,45,53,45,56
1427257712788,56,57,62,60,61
1427258228557,31,68,87,87,75
1427258283807,60,81,86,81,76
1427258632447,81,62,100,75,87
1427258908332,46,60,68,65,75
1427259080110,56,50,68,37,87
1427259210918,60,68,76,68,80
1427259601639,75,93,62,68,50
1427259633445,81,75,81,75,37
1427259767771,81,81,100,93,87
1427259897449,87,37,62,75,12
1427260030480,87,56,50,81,75
1427260067754,81,31,93,68,87
1427260125939,75,50,68,68,62
1427260377679,58,70,68,55,76
1427260791333,62,43,81,62,81
1427261022877,48,50,64,60,74
1427261321467,55,66,50,70,71
1427261391657,78,65,65,58,70
1427261496193,87,62,75,56,25
1427261931447,0,0,0,0,0
1427262093956,100,75,62,50,50
1427262171980,6,3,0,0,0
1427262337097,68,18,81,68,25
1427262518650,62,75,56,62,31
1427262525990,0,6,0,0,0
1427262527181,85,76,80,60,62
1427262721051,58,76,70,63,90
1427263579772,49,69,68,77,60
1427263779873,87,87,68,87,12
1427263920168,78,44,72,62,68
1427264160400,68,56,81,62,62
1427264176093,51,63,55,75,48
1427264674667,29,21,30,21,29
1427264820319,18,62,100,50,100
1427264829768,25,62,87,62,100
1427265045504,6,5,6,5,0
1427265089108,0,0,0,0,0
1427265392065,82,54,73,76,65
1427265434152,81,31,93,43,75
1427265476564,75,25,75,50,75
1427265639459,81,100,87,75,75
1427265668338,50,50,87,87,81
1427265949864,0,0,0,0,0
1427266109151,69,69,66,45,56
1427266154562,87,31,81,81,62
1427266668974,56,38,50,68,51
1427267087785,50,51,66,65,68
1427267172852,75,75,81,68,81
1427267204147,75,81,87,81,31
1427267301668,69,36,60,90,73
1427267584336,56,100,75,87,81
1427268057052,68,50,43,87,68
1427268150842,81,87,87,68,62
1427268289837,6,0,0,0,0
1427268328569,6,0,0,0,0
1427268356676,18,30,38,28,11
1427268447965,18,50,62,56,81
1427268452218,49,50,61,48,56
1427268518380,38,68,66,72,54
1427268678328,70,54,76,57,69
1427268740920,37,25,43,75,43
1427268798036,62,43,93,25,87
1427268881606,0,0,0,0,0
1427269022022,0,0,0,0,0
1427269022277,68,71,66,51,61
1427269114052,73,53,46,63,63
1427269392447,56,75,81,75,56
1427269442544,0,0,0,0,0
1427269444329,73,69,74,68,78
1427269711795,65,75,66,65,73
1427270081796,75,43,81,0,37
1427270097600,68,60,60,55,58
1427270317333,75,81,43,81,31
1427270713388,57,66,70,57,81
1427270924995,62,37,43,50,18
1427270929980,56,81,93,37,37
1427271185822,75,73,66,61,53
1427271238344,50,87,75,62,31
