56,62,68
50,56,68
75,58,63
75,43,61
12,0,12
75,37,62
56,62,68
18,31,21
56,63,76
0,0,0
77,48,72
31,18,62
0,0,0
76,46,68
76,68,65
75,68,87
50,68,56
81,43,87
68,43,81
43,37,81
76,49,76
62,37,31
12,12,12
43,68,81
58,86,71
87,93,75
62,56,75
46,55,75
87,43,87
81,18,87
31,56,68
68,70,74
44,76,78
100,93,93
87,81,93
75,81,87
0,0,0
70,71,71
50,62,81
100,75,87
87,87,56
31,81,37
93,87,87
60,63,48
5,5,0
81,68,50
46,72,85
0,0,0
81,25,50
100,43,75
43,0,68
75,75,87
93,50,56
87,12,75
56,62,56
4,5,5
0,0,0
87,56,68
93,93,87
60,66,80
25,18,68
75,60,65
69,73,85
50,93,81
68,87,75
62,37,87
87,25,81
12,0,0
62,37,50
74,81,84
62,37,81
43,37,81
44,77,86
90,56,81
70,56,73
69,49,49
93,68,75
90,50,62
62,43,100
87,100,68
6,50,37
61,76,61
100,56,75
